domain,model,shot,generated_path,run_id,run_name,generated_row_count,generated_column_count,generated_overall_missing_pct,generated_duplicate_rows,generated_duplicate_rows_pct,generated_duplicate_rows_primary_key,generated_duplicate_rows_primary_key_pct,generated_type_correctness_pct,real_row_count,real_column_count,real_overall_missing_pct,real_duplicate_rows,real_duplicate_rows_pct,real_duplicate_rows_primary_key,real_duplicate_rows_primary_key_pct,numeric_avg_ks_real_vs_generated,numeric_avg_mean_diff_real_vs_generated,numeric_avg_std_diff_real_vs_generated,categorical_avg_js_divergence_real_vs_generated,text_avg_length_real_mean,text_avg_length_generated_mean,text_avg_length_abs_diff_mean,text_empty_pct_generated_mean,numeric_outlier_pct_mean,categorical_unexpected_value_pct_mean,date_invalid_values_pct_mean,row_constraints_mean_violations_pct,row_constraints_max_violations_pct
hatecrime,llama-3.1-8b-instruct,one,data/generated/llama-3.1-8b-instruct-run1/hatecrime/one/csv/llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_hatecrime_one_csv_clean.csv,run1,llama-3.1-8b-instruct-run1,569,20,3.3831282952548327,0,0.0,0,0.0,75.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.17767743407654443,0.6928411352199648,1.0354233371992143,0.5183344259997607,10.0,10.0,0.0,0.0,3.75,37.798701298701296,0.0,1.2302284710017575,1.7574692442882252
hatecrime,llama-3.1-8b-instruct,zero,data/generated/llama-3.1-8b-instruct-run1/hatecrime/zero/csv/llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_hatecrime_zero_csv_clean.csv,run1,llama-3.1-8b-instruct-run1,830,20,2.144578313253012,2,0.24096385542168677,2,0.24096385542168677,60.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.33349929439855874,2.433353299524994,2.7171776647961585,0.6870560619297277,10.0,10.43855421686747,0.43855421686746965,0.0,7.096262972256885,66.92157784457498,1.0962241169305724,2.6506024096385543,3.614457831325301
hatecrime,llama-3.1-8b-instruct,few,data/generated/llama-3.1-8b-instruct-run2/hatecrime/few/csv/llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_hatecrime_few_csv_clean.csv,run2,llama-3.1-8b-instruct-run2,237,20,6.518987341772152,0,0.0,0,0.0,60.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.20752236821141604,0.6478961820081025,0.7891195488750811,0.4306291939584922,10.0,10.027149321266968,0.02714932126696823,0.0,1.1922570761004763,23.03578774167009,0.91324200913242,7.805907172995781,8.016877637130802
hatecrime,llama-3.1-8b-instruct,one,data/generated/llama-3.1-8b-instruct-run2/hatecrime/one/csv/llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_hatecrime_one_csv_clean.csv,run2,llama-3.1-8b-instruct-run2,733,20,3.7039563437926333,0,0.0,0,0.0,60.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.22094071954786065,0.6270067447009895,1.1076279864802714,0.5092033566052209,10.0,10.00413223140496,0.004132231404959441,0.0,1.795059338868232,36.82752847368286,0.13793103448275862,4.843110504774898,6.548431105047749
hatecrime,llama-3.1-8b-instruct,zero,data/generated/llama-3.1-8b-instruct-run2/hatecrime/zero/csv/llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_hatecrime_zero_csv_clean.csv,run2,llama-3.1-8b-instruct-run2,749,20,3.0774365821094793,0,0.0,1,0.13351134846461948,60.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.23582965816760082,1.1966936514388644,0.6109830922651448,0.6767590784242095,10.0,9.678237650200266,0.3217623497997337,0.0,0.9729129689673977,59.03810913038358,15.408320493066254,5.941255006675568,11.081441922563418
hatecrime,llama-3.1-8b-instruct,few,data/generated/llama-3.1-8b-instruct-run3/hatecrime/few/csv/llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_hatecrime_few_csv_clean.csv,run3,llama-3.1-8b-instruct-run3,334,20,5.074850299401198,0,0.0,0,0.0,95.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.20762812343150072,0.7861968904449858,0.8612034760598855,0.4181344338348796,10.0,10.0,0.0,0.0,0.1567398119122257,18.549713136570656,0.0,0.5988023952095809,0.8982035928143712
hatecrime,llama-3.1-8b-instruct,one,data/generated/llama-3.1-8b-instruct-run3/hatecrime/one/csv/llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_hatecrime_one_csv_clean.csv,run3,llama-3.1-8b-instruct-run3,351,20,5.398860398860399,12,3.418803418803419,12,3.418803418803419,90.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.20178748117554626,0.5966106188878814,1.0351045471779339,0.4957681740484264,10.0,10.00887573964497,0.008875739644970793,0.0,0.9470977740208509,34.54801848044121,0.0,0.14245014245014245,0.2849002849002849
hatecrime,llama-3.1-8b-instruct,zero,data/generated/llama-3.1-8b-instruct-run3/hatecrime/zero/csv/llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_hatecrime_zero_csv_clean.csv,run3,llama-3.1-8b-instruct-run3,777,20,2.9729729729729732,0,0.0,1,0.1287001287001287,60.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.2650567989810945,1.5057795048054634,0.5541688973729275,0.7032912195822375,10.0,11.281853281853282,1.281853281853282,0.0,1.6653312072804034,67.13370646577262,26.34146341463415,1.8661518661518661,3.7323037323037322
hatecrime,qwen3-coder-30b-a3b-instruct,few,data/generated/qwen3-coder-30b-a3b-instruct-run1/hatecrime/few/csv/qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_hatecrime_few_csv_clean.csv,run1,qwen3-coder-30b-a3b-instruct-run1,1032,20,1.4534883720930232,0,0.0,1,0.09689922480620156,85.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.2961638265771189,0.9121009319936857,2.875175903993937,0.40898965629918854,10.0,10.0,0.0,0.0,1.9449848123993874,20.880633144479507,0.0,4.215116279069767,8.430232558139535
hatecrime,qwen3-coder-30b-a3b-instruct,one,data/generated/qwen3-coder-30b-a3b-instruct-run1/hatecrime/one/csv/qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_hatecrime_one_csv_clean.csv,run1,qwen3-coder-30b-a3b-instruct-run1,1009,20,0.31714568880079286,0,0.0,2,0.19821605550049554,100.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.281329190459934,0.7607392888779283,4.504203666954832,0.5838588144689667,10.0,10.0,0.0,0.0,1.5770411971270903,50.76132984953599,0.0,0.29732408325074333,0.5946481665014867
hatecrime,qwen3-coder-30b-a3b-instruct,zero,data/generated/qwen3-coder-30b-a3b-instruct-run1/hatecrime/zero/csv/qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_hatecrime_zero_csv_clean.csv,run1,qwen3-coder-30b-a3b-instruct-run1,1012,20,0.09387351778656126,0,0.0,6,0.592885375494071,100.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.43080298257771316,1.4064213123425495,0.6019212502705606,0.6996867398343025,10.0,10.0,0.0,0.0,2.173913043478261,68.55673444477146,0.0,0.0,0.0
hatecrime,qwen3-coder-30b-a3b-instruct,few,data/generated/qwen3-coder-30b-a3b-instruct-run2/hatecrime/few/csv/qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_hatecrime_few_csv_clean.csv,run2,qwen3-coder-30b-a3b-instruct-run2,1031,20,0.6838021338506304,0,0.0,1,0.09699321047526674,85.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.32526574374809036,0.9382004308731775,2.888716137451597,0.4442939265215745,10.0,10.0,0.0,0.0,2.3661650138022705,25.839041652411673,0.0,5.383123181377304,10.766246362754607
hatecrime,qwen3-coder-30b-a3b-instruct,one,data/generated/qwen3-coder-30b-a3b-instruct-run2/hatecrime/one/csv/qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_hatecrime_one_csv_clean.csv,run2,qwen3-coder-30b-a3b-instruct-run2,1019,20,0.47105004906771347,0,0.0,2,0.19627085377821393,85.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.2960330273612962,0.9998326439292473,2.8808465001944965,0.5542440361124084,10.0,9.983316977428851,0.016683022571148953,0.0,1.0890299145530906,46.60074204505433,0.19665683382497542,1.7664376840039255,3.532875368007851
hatecrime,qwen3-coder-30b-a3b-instruct,zero,data/generated/qwen3-coder-30b-a3b-instruct-run2/hatecrime/zero/csv/qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_hatecrime_zero_csv_clean.csv,run2,qwen3-coder-30b-a3b-instruct-run2,987,20,0.3951367781155016,1,0.10131712259371835,8,0.8105369807497468,85.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.43177135429736835,1.3720645424175264,0.6395288831077715,0.6887408617577021,10.0,9.990881458966566,0.009118541033434013,0.0,2.9248970314464744,67.67261719980397,0.10141987829614604,0.0,0.0
hatecrime,qwen3-coder-30b-a3b-instruct,few,data/generated/qwen3-coder-30b-a3b-instruct-run3/hatecrime/few/csv/qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_hatecrime_few_csv_clean.csv,run3,qwen3-coder-30b-a3b-instruct-run3,1018,20,1.1542239685658153,0,0.0,1,0.09823182711198428,100.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.2874754221093222,0.7055651189479492,4.502279285030123,0.43620742451182254,10.0,10.0,0.0,0.0,1.4556432439842422,27.003935419708146,0.0,4.715127701375246,9.430255402750491
hatecrime,qwen3-coder-30b-a3b-instruct,one,data/generated/qwen3-coder-30b-a3b-instruct-run3/hatecrime/one/csv/qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_hatecrime_one_csv_clean.csv,run3,qwen3-coder-30b-a3b-instruct-run3,1015,20,0.8522167487684729,0,0.0,2,0.19704433497536944,80.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.33587976424095145,0.593991861070584,7.659333346798004,0.5517799914281983,10.0,9.97337278106509,0.0266272189349106,0.0,1.939660975989024,46.81034079401195,0.2967359050445104,0.29556650246305416,0.3940886699507389
hatecrime,qwen3-coder-30b-a3b-instruct,zero,data/generated/qwen3-coder-30b-a3b-instruct-run3/hatecrime/zero/csv/qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_hatecrime_zero_csv_clean.csv,run3,qwen3-coder-30b-a3b-instruct-run3,988,20,0.025303643724696356,0,0.0,5,0.5060728744939271,100.0,265834,20,13.516141652309335,4084,1.5362970876562065,16901,6.357727002565511,0.46889096724750556,1.4465195864940397,0.6351803483123557,0.6856718952059295,10.0,10.0,0.0,0.0,1.8363215731636784,66.09311740890688,0.0,0.0,0.0
employment,kimi-k2-instruct-0905,few,data/generated/kimi-k2-instruct-0905-run1/employment/few/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_few_csv_clean.csv,run1,kimi-k2-instruct-0905-run1,1031,18,0.1239357689406186,0,0.0,2,0.19398642095053348,100.0,11239,18,3.137882967049263,0,0.0,0,0.0,0.4115865748907188,78.15501562055303,6005.121499632502,0.551992689526264,17.79218711652981,15.451017800312124,2.3411693162176856,0.0,0.5621107170825532,55.49076773566569,0.0,0.1697381183317168,0.19398642095053348
employment,kimi-k2-instruct-0905,one,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv_clean.csv,run1,kimi-k2-instruct-0905-run1,991,18,0.0,0,0.0,2,0.20181634712411706,22.22222222222222,11239,18,3.137882967049263,0,0.0,0,0.0,0.41472775760906,79.73753700610891,6004.209467354974,0.49360669183751577,17.79218711652981,15.600067272115709,2.1921198444141012,0.0,1.6955266955266954,47.124117053481335,0.10101010101010101,0.10090817356205853,0.10090817356205853
employment,kimi-k2-instruct-0905,zero,data/generated/kimi-k2-instruct-0905-run1/employment/zero/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_zero_csv_clean.csv,run1,kimi-k2-instruct-0905-run1,1008,18,0.0,0,0.0,3,0.2976190476190476,100.0,11239,18,3.137882967049263,0,0.0,0,0.0,0.30003325907508227,72.65300631746382,6003.355974071979,0.8061618770784533,17.79218711652981,12.551917989417989,5.240269127111821,0.0,1.1550453514739227,98.01587301587301,0.0,0.0,0.0
