domain,model,run_name,runs_count,generated_row_count_mean,generated_row_count_std,generated_row_count_min,generated_row_count_max,generated_column_count_mean,generated_column_count_std,generated_column_count_min,generated_column_count_max,generated_overall_missing_pct_mean,generated_overall_missing_pct_std,generated_overall_missing_pct_min,generated_overall_missing_pct_max,generated_duplicate_rows_mean,generated_duplicate_rows_std,generated_duplicate_rows_min,generated_duplicate_rows_max,generated_duplicate_rows_pct_mean,generated_duplicate_rows_pct_std,generated_duplicate_rows_pct_min,generated_duplicate_rows_pct_max,generated_duplicate_rows_primary_key_mean,generated_duplicate_rows_primary_key_std,generated_duplicate_rows_primary_key_min,generated_duplicate_rows_primary_key_max,generated_duplicate_rows_primary_key_pct_mean,generated_duplicate_rows_primary_key_pct_std,generated_duplicate_rows_primary_key_pct_min,generated_duplicate_rows_primary_key_pct_max,generated_type_correctness_pct_mean,generated_type_correctness_pct_std,generated_type_correctness_pct_min,generated_type_correctness_pct_max,real_row_count_mean,real_row_count_std,real_row_count_min,real_row_count_max,real_column_count_mean,real_column_count_std,real_column_count_min,real_column_count_max,real_overall_missing_pct_mean,real_overall_missing_pct_std,real_overall_missing_pct_min,real_overall_missing_pct_max,real_duplicate_rows_mean,real_duplicate_rows_std,real_duplicate_rows_min,real_duplicate_rows_max,real_duplicate_rows_pct_mean,real_duplicate_rows_pct_std,real_duplicate_rows_pct_min,real_duplicate_rows_pct_max,real_duplicate_rows_primary_key_mean,real_duplicate_rows_primary_key_std,real_duplicate_rows_primary_key_min,real_duplicate_rows_primary_key_max,real_duplicate_rows_primary_key_pct_mean,real_duplicate_rows_primary_key_pct_std,real_duplicate_rows_primary_key_pct_min,real_duplicate_rows_primary_key_pct_max,numeric_avg_ks_real_vs_generated_mean,numeric_avg_ks_real_vs_generated_std,numeric_avg_ks_real_vs_generated_min,numeric_avg_ks_real_vs_generated_max,numeric_avg_mean_diff_real_vs_generated_mean,numeric_avg_mean_diff_real_vs_generated_std,numeric_avg_mean_diff_real_vs_generated_min,numeric_avg_mean_diff_real_vs_generated_max,numeric_avg_std_diff_real_vs_generated_mean,numeric_avg_std_diff_real_vs_generated_std,numeric_avg_std_diff_real_vs_generated_min,numeric_avg_std_diff_real_vs_generated_max,categorical_avg_js_divergence_real_vs_generated_mean,categorical_avg_js_divergence_real_vs_generated_std,categorical_avg_js_divergence_real_vs_generated_min,categorical_avg_js_divergence_real_vs_generated_max,text_avg_length_real_mean_mean,text_avg_length_real_mean_std,text_avg_length_real_mean_min,text_avg_length_real_mean_max,text_avg_length_generated_mean_mean,text_avg_length_generated_mean_std,text_avg_length_generated_mean_min,text_avg_length_generated_mean_max,text_avg_length_abs_diff_mean_mean,text_avg_length_abs_diff_mean_std,text_avg_length_abs_diff_mean_min,text_avg_length_abs_diff_mean_max,text_empty_pct_generated_mean_mean,text_empty_pct_generated_mean_std,text_empty_pct_generated_mean_min,text_empty_pct_generated_mean_max,numeric_outlier_pct_mean_mean,numeric_outlier_pct_mean_std,numeric_outlier_pct_mean_min,numeric_outlier_pct_mean_max,categorical_unexpected_value_pct_mean_mean,categorical_unexpected_value_pct_mean_std,categorical_unexpected_value_pct_mean_min,categorical_unexpected_value_pct_mean_max,date_invalid_values_pct_mean_mean,date_invalid_values_pct_mean_std,date_invalid_values_pct_mean_min,date_invalid_values_pct_mean_max,row_constraints_mean_violations_pct_mean,row_constraints_mean_violations_pct_std,row_constraints_mean_violations_pct_min,row_constraints_mean_violations_pct_max,row_constraints_max_violations_pct_mean,row_constraints_max_violations_pct_std,row_constraints_max_violations_pct_min,row_constraints_max_violations_pct_max
employment,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,3,1010.0,16.391054470858997,991.0,1031.0,18.0,0.0,18.0,18.0,0.0413119229802062,0.05842388176632034,0.0,0.1239357689406186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.4714045207910317,2.0,3.0,0.23114060523123273,0.04711591672109303,0.19398642095053348,0.2976190476190476,74.07407407407408,36.66479606152469,22.22222222222222,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37544919719162034,0.0533425380518252,0.30003325907508227,0.41472775760906,76.84851964804191,3.0362084430233405,72.65300631746382,79.73753700610891,6004.228980353152,0.7209048453334208,6003.355974071979,6005.121499632502,0.6172537528140777,0.13568822287715618,0.49360669183751577,0.8061618770784533,17.79218711652981,0.0,17.79218711652981,17.79218711652981,14.534334353948607,1.4031001195045032,12.551917989417989,15.600067272115709,3.257852762581203,1.4031001195045032,2.1921198444141012,5.240269127111821,0.0,0.0,0.0,0.0,1.1375609213610571,0.46288027539195764,0.5621107170825532,1.6955266955266954,66.87691926834002,22.28192154008377,47.124117053481335,98.01587301587301,0.03367003367003367,0.047616618261720374,0.0,0.10101010101010101,0.09021543063125843,0.06970656720489637,0.0,0.1697381183317168,0.098298198170864,0.07921612570243668,0.0,0.19398642095053348
employment,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,3,1020.3333333333334,16.21384867602041,1003.0,1042.0,18.0,0.0,18.0,18.0,0.018463129131125144,0.02611080762108296,0.0,0.055389387393375435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,8.055363982396381,2.0,20.0,0.8374961261876107,0.7691128953840454,0.19940179461615154,1.9193857965451053,70.37037037037037,34.346735168502605,22.22222222222222,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722356194993571,0.05246969662965238,0.30093958142438665,0.4256954271253279,77.4303722402718,4.135104734520254,71.6681323046403,81.17525139984056,6003.263059620215,0.9678239208192825,6002.26052735203,6004.571308716334,0.6007248411520832,0.1290291014210385,0.5040736673505979,0.7830902597163178,17.79218711652981,0.0,17.79218711652981,17.79218711652981,14.501729305026183,1.7554388379283956,12.03740157480315,15.994017946161515,3.290457811503627,1.7554388379283956,1.7981691703682952,5.75478554172666,0.0,0.0,0.0,0.0,0.9921080807771485,0.3723466461879521,0.6649300795174116,1.5130190007037299,65.3578015831451,21.574004042963402,49.80806142034549,95.86614173228347,0.032840722495894904,0.04644379515182578,0.0,0.09852216748768472,0.09927566382218174,0.0814076630078031,0.0,0.19940179461615154,0.09927566382218174,0.0814076630078031,0.0,0.19940179461615154
employment,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,1027.0,24.041630560342615,993.0,1044.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.9428090415820634,2.0,4.0,0.2587075042539153,0.08807994429500163,0.19157088122605362,0.38314176245210724,98.14814814814815,2.618914004394621,94.44444444444444,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37567250746648284,0.04603474344395169,0.3109485897907401,0.41410960140190006,77.88966630682395,3.1962086517362653,73.37444159752604,80.32944338517045,6002.960116024363,0.8523141413995131,6001.815320605013,6003.85922718543,0.6109005387430398,0.14123773154102978,0.43623748478136654,0.7821472514882553,17.79218711652981,0.0,17.79218711652981,17.79218711652981,14.577230910112808,1.452723407895493,12.533736153071501,15.78256704980843,3.2149562064170016,1.452723407895493,2.0096200667213804,5.2584509634583085,0.0,0.0,0.0,0.0,1.0637199862640012,0.1417840223006802,0.8991512012660049,1.2452107279693487,68.86963534010101,23.076160844008545,39.6551724137931,96.07250755287009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
employment,llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,3,960.0,19.510680835549195,939.0,986.0,18.0,0.0,18.0,18.0,0.20308250424474128,0.12464265916626138,0.04072134962187318,0.3437006986702727,0.6666666666666666,0.9428090415820634,0.0,2.0,0.0676132521974307,0.09561957825375897,0.0,0.2028397565922921,1.6666666666666667,1.699673171197595,0.0,4.0,0.17013051835646698,0.17195667991740282,0.0,0.4056795131845842,46.2962962962963,34.045882057130065,22.22222222222222,94.44444444444444,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4197123797454743,0.06606975316564999,0.3725320082318887,0.513147592762158,784.21874010401,992.0741774527431,79.67855272435985,2187.219105380264,8018.374234600634,2851.6506943860772,6000.876732931686,12051.217130341738,0.6201273383346938,0.14975912322434645,0.42742777493460926,0.792581332680621,17.79218711652981,0.0,17.79218711652981,17.79218711652981,15.676497826199993,1.3141680044201838,13.818309805980855,16.63574605488914,2.1156892903298146,1.3141680044201838,1.1564410616406704,3.9738773105489553,0.0,0.0,0.0,0.0,7.117368759005633,4.368826954003454,1.587551167197555,12.268867482408336,53.45683561232801,13.738490901975808,34.13612565445026,64.89252814738997,8.2858749897857,3.708712536371711,3.3003300330033,12.189349112426036,90.47667224988992,6.594857111376076,82.87958115183245,98.9604462474645,93.99179213895786,4.033510919323606,90.26178010471205,99.59432048681542
employment,llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,3,921.0,94.16297927883689,791.0,1011.0,18.0,0.0,18.0,18.0,0.2566302981615203,0.18217835996428886,0.0,0.40467106023817784,35.666666666666664,25.952948879762307,0.0,61.0,3.6067702034471316,2.600681225728469,0.0,6.033630069238378,36.333333333333336,25.037749277618563,2.0,61.0,3.6910517036578354,2.483904501603974,0.2528445006321113,6.033630069238378,59.25925925925926,31.860463952009727,22.22222222222222,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43966927051361115,0.1125227267548275,0.3544632026087576,0.5986638443160522,922.8695428589502,1180.206971055916,87.13189334496282,2591.9336671923515,8237.705724286352,2967.6555928442044,6006.29540841926,12431.734383460576,0.5776200389987506,0.1391864369368115,0.38922571921825716,0.721213368240288,17.79218711652981,0.0,17.79218711652981,17.79218711652981,17.925274106552266,2.439531536787516,16.084675265520904,21.372650516054787,2.253888609660862,0.9428745415669689,1.4736905784487035,3.5804633995249766,0.0,0.0,0.0,0.0,5.833338450604603,2.3569579776608993,3.2287958954625617,8.937038306146357,50.02519384525245,14.237283600155065,29.913606911447083,60.913705583756354,6.160096178940019,4.253206027498006,0.3972194637537239,10.53370786516854,88.01450564737888,9.521775713803702,75.93652445369408,99.20986093552466,92.37017284915406,6.331211854236901,84.28720083246618,99.74715549936789
employment,llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,943.6666666666666,7.93025150224688,933.0,952.0,18.0,0.0,18.0,18.0,2.0859915956378976,2.874582144670052,0.0,6.15079365079365,30.0,32.61901286060018,4.0,76.0,3.2063398313876665,3.5020867239211313,0.42283298097251587,8.145766345123258,41.333333333333336,29.00957696271277,5.0,76.0,4.397038098009326,3.1108721200142075,0.5285412262156448,8.145766345123258,33.333333333333336,15.713484026367723,22.22222222222222,55.55555555555556,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42256033236475865,0.06502462393411812,0.35896755059526414,0.511882988179304,1071.6040222163504,1398.6264783540141,77.46377484541678,3049.551559919389,8537.078269402455,3584.5770694655275,6002.349711375363,13606.435776086,0.606328630666817,0.0810574594219048,0.4938176028840389,0.6815951693161674,17.79218711652981,0.0,17.79218711652981,17.79218711652981,16.883230111048395,0.25710298431151485,16.54165643785604,17.16194510036314,0.9089570054814153,0.25710298431151485,0.6302420161666689,1.250530678673769,0.0,0.0,0.0,0.0,6.62184301829404,3.5010057008598516,1.8711180124223605,10.204897665411881,58.16683082531341,6.074634457542432,49.577167019027485,62.58426966292134,7.591368294667608,2.8536920310140736,4.582843713278495,11.42520612485277,86.10026236610587,12.059489060947184,70.29598308668076,99.55357142857143,90.0677303204784,9.672803343367402,76.95560253699789,100.0
employment,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,3,1032.3333333333333,24.850665092821068,1010.0,1067.0,18.0,0.0,18.0,18.0,0.0826113707658078,0.07275187317058197,0.0,0.17702801207955846,4.0,2.8284271247461903,0.0,6.0,0.38351985592737564,0.2713957198915111,0.0,0.5882352941176471,5.0,2.160246899469287,2.0,7.0,0.48220619514953317,0.20722346200290287,0.19801980198019803,0.6862745098039216,96.2962962962963,2.618914004394621,94.44444444444444,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4600325675842806,0.06235825982771587,0.3724506559605456,0.5127613878144857,82.75048906023473,3.27774027093608,78.11506864889914,85.07368863783529,6004.806395917621,1.1205504508473698,6003.660801968539,6006.3274338147185,0.5608481325666629,0.12951911539411182,0.4320478458398557,0.7380342080449764,17.79218711652981,0.0,17.79218711652981,17.79218711652981,14.833378237501421,1.5868347749995648,12.5996699669967,16.137254901960784,2.9588088790283886,1.5868347749995648,1.6549322145690262,5.19251714953311,0.0,0.0,0.0,0.0,2.94595352424863,0.34442072273215,2.5692137325544957,3.4016973125884014,58.30439362234423,23.472429104935358,37.40601503759399,91.0891089108911,0.03274394237066142,0.04630692738615243,0.0,0.09823182711198428,51.13766470643426,40.618774498727085,0.3514526710402999,99.77722772277228,54.1104495531421,41.00161203267222,0.4686035613870665,100.0
employment,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,3,1040.3333333333333,15.797327481430381,1018.0,1052.0,18.0,0.0,18.0,18.0,0.014095922754343307,0.01993464513335582,0.0,0.04228776826302992,3.3333333333333335,2.8674417556808756,0.0,7.0,0.3170678176014394,0.27284039678552524,0.0,0.6660323501427212,4.666666666666667,1.699673171197595,3.0,7.0,0.4480435870840851,0.1602959254758579,0.28517110266159695,0.6660323501427212,68.51851851851852,32.81489841975806,22.22222222222222,94.44444444444444,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4574236246197931,0.06035876548417328,0.3744796810573949,0.5163597747640992,84.14613999563896,1.4782779551998235,82.35835261078144,85.9785542095018,6055.459712215105,69.39022612998622,6005.519927332411,6153.587096671684,0.5587478517560198,0.12401927450502903,0.46209404674055454,0.7338213603530476,17.79218711652981,0.0,17.79218711652981,17.79218711652981,14.502226227854232,1.7422522532804123,12.038310412573674,15.736058301647654,3.2899608886755782,1.7422522532804123,2.0561288148821557,5.753876703956136,0.0,0.0,0.0,0.0,2.0695280782299466,0.8263302888632104,1.0941960038058993,3.1146688932471176,56.403268299583296,23.439093722299045,36.38095238095238,89.29273084479371,0.06349212108128897,0.044895770451053,0.0,0.09532888465204957,46.42160674237237,40.907788203503785,0.38022813688212925,99.77897838899804,48.5884648454788,40.662846667534424,0.5703422053231939,100.0
employment,qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,1025.6666666666667,4.988876515698588,1019.0,1031.0,18.0,0.0,18.0,18.0,0.10624689933214286,0.08613506678623054,0.0,0.21097046413502107,4.333333333333333,3.0912061651652345,0.0,7.0,0.422969083691783,0.30213991508694227,0.0,0.6869479882237487,5.0,2.160246899469287,2.0,7.0,0.4878830726564049,0.21166709558420627,0.19474196689386564,0.6869479882237487,92.5925925925926,2.618914004394621,88.88888888888889,94.44444444444444,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48589126985091413,0.06588707255102437,0.39273194488702284,0.5341032996995982,83.16661116619255,2.38458949452819,79.89814844940886,85.52005333364357,6004.455605884185,1.398614016262516,6002.571667308114,6005.919363760561,0.5549497112260386,0.1545138660551154,0.384128812058077,0.7583727343373095,17.79218711652981,0.0,17.79218711652981,17.79218711652981,14.909905857091951,1.4960396774113962,12.814995131450829,16.21370837374717,2.8822812594378586,1.4960396774113962,1.5784787427826394,4.977191985078981,0.0,0.0,0.0,0.0,2.19092451540444,2.096480552730868,0.05569516507268833,5.0399551380905665,56.68549087477093,26.87830580901322,28.98832684824903,93.07992202729045,0.03245699448231094,0.04590112179075285,0.0,0.09737098344693282,51.38025897022439,39.68661239019438,2.6430649854510184,99.8539435248296,53.35978198896047,38.132312654455355,6.595538312318137,100.0
hatecrime,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,3,1015.3333333333334,18.926759422104517,1000.0,1042.0,20.0,0.0,20.0,20.0,3.02054953570236,3.013330689894523,0.46065259117082535,7.250996015936255,3.6666666666666665,1.699673171197595,2.0,6.0,0.3582068399466752,0.15907193525678734,0.2,0.5758157389635317,25.666666666666668,1.8856180831641267,23.0,27.0,2.527335826240782,0.1730314834263863,2.2908366533864544,2.7,100.0,0.0,100.0,100.0,265834.0,0.0,265834.0,265834.0,20.0,0.0,20.0,20.0,13.516141652309335,0.0,13.516141652309335,13.516141652309335,4084.0,0.0,4084.0,4084.0,1.5362970876562063,2.220446049250313e-16,1.5362970876562065,1.5362970876562065,16901.0,0.0,16901.0,16901.0,6.357727002565511,0.0,6.357727002565511,6.357727002565511,0.3324761204372184,0.018044344462554825,0.3100750420546757,0.3542616166949772,1.3424551266855937,0.15867191028082772,1.182805913494453,1.5588420238808676,0.63471032411658,0.03846532318369677,0.6015307231005868,0.6886325125572281,0.44057352411828377,0.11775865678456332,0.30073362271560294,0.5888149492268597,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2051619166372853,0.3863681084108222,0.6613957324745469,1.5235124760076775,27.914382807967225,18.298325372337924,5.2969938428105765,50.11267574260182,0.0,0.0,0.0,0.0,1.6428209108543435,2.2894531555775917,0.0,4.8804780876494025,3.285641821708687,4.578906311155183,0.0,9.760956175298805
