domain,model,shot,runs_count,generated_row_count_mean,generated_row_count_std,generated_row_count_min,generated_row_count_max,generated_column_count_mean,generated_column_count_std,generated_column_count_min,generated_column_count_max,generated_overall_missing_pct_mean,generated_overall_missing_pct_std,generated_overall_missing_pct_min,generated_overall_missing_pct_max,generated_duplicate_rows_mean,generated_duplicate_rows_std,generated_duplicate_rows_min,generated_duplicate_rows_max,generated_duplicate_rows_pct_mean,generated_duplicate_rows_pct_std,generated_duplicate_rows_pct_min,generated_duplicate_rows_pct_max,generated_duplicate_rows_primary_key_mean,generated_duplicate_rows_primary_key_std,generated_duplicate_rows_primary_key_min,generated_duplicate_rows_primary_key_max,generated_duplicate_rows_primary_key_pct_mean,generated_duplicate_rows_primary_key_pct_std,generated_duplicate_rows_primary_key_pct_min,generated_duplicate_rows_primary_key_pct_max,generated_type_correctness_pct_mean,generated_type_correctness_pct_std,generated_type_correctness_pct_min,generated_type_correctness_pct_max,real_row_count_mean,real_row_count_std,real_row_count_min,real_row_count_max,real_column_count_mean,real_column_count_std,real_column_count_min,real_column_count_max,real_overall_missing_pct_mean,real_overall_missing_pct_std,real_overall_missing_pct_min,real_overall_missing_pct_max,real_duplicate_rows_mean,real_duplicate_rows_std,real_duplicate_rows_min,real_duplicate_rows_max,real_duplicate_rows_pct_mean,real_duplicate_rows_pct_std,real_duplicate_rows_pct_min,real_duplicate_rows_pct_max,real_duplicate_rows_primary_key_mean,real_duplicate_rows_primary_key_std,real_duplicate_rows_primary_key_min,real_duplicate_rows_primary_key_max,real_duplicate_rows_primary_key_pct_mean,real_duplicate_rows_primary_key_pct_std,real_duplicate_rows_primary_key_pct_min,real_duplicate_rows_primary_key_pct_max,numeric_avg_ks_real_vs_generated_mean,numeric_avg_ks_real_vs_generated_std,numeric_avg_ks_real_vs_generated_min,numeric_avg_ks_real_vs_generated_max,numeric_avg_mean_diff_real_vs_generated_mean,numeric_avg_mean_diff_real_vs_generated_std,numeric_avg_mean_diff_real_vs_generated_min,numeric_avg_mean_diff_real_vs_generated_max,numeric_avg_std_diff_real_vs_generated_mean,numeric_avg_std_diff_real_vs_generated_std,numeric_avg_std_diff_real_vs_generated_min,numeric_avg_std_diff_real_vs_generated_max,categorical_avg_js_divergence_real_vs_generated_mean,categorical_avg_js_divergence_real_vs_generated_std,categorical_avg_js_divergence_real_vs_generated_min,categorical_avg_js_divergence_real_vs_generated_max,text_avg_length_real_mean_mean,text_avg_length_real_mean_std,text_avg_length_real_mean_min,text_avg_length_real_mean_max,text_avg_length_generated_mean_mean,text_avg_length_generated_mean_std,text_avg_length_generated_mean_min,text_avg_length_generated_mean_max,text_avg_length_abs_diff_mean_mean,text_avg_length_abs_diff_mean_std,text_avg_length_abs_diff_mean_min,text_avg_length_abs_diff_mean_max,text_empty_pct_generated_mean_mean,text_empty_pct_generated_mean_std,text_empty_pct_generated_mean_min,text_empty_pct_generated_mean_max,numeric_outlier_pct_mean_mean,numeric_outlier_pct_mean_std,numeric_outlier_pct_mean_min,numeric_outlier_pct_mean_max,categorical_unexpected_value_pct_mean_mean,categorical_unexpected_value_pct_mean_std,categorical_unexpected_value_pct_mean_min,categorical_unexpected_value_pct_mean_max,date_invalid_values_pct_mean_mean,date_invalid_values_pct_mean_std,date_invalid_values_pct_mean_min,date_invalid_values_pct_mean_max,row_constraints_mean_violations_pct_mean,row_constraints_mean_violations_pct_std,row_constraints_mean_violations_pct_min,row_constraints_mean_violations_pct_max,row_constraints_max_violations_pct_mean,row_constraints_max_violations_pct_std,row_constraints_max_violations_pct_min,row_constraints_max_violations_pct_max
employment,kimi-k2-instruct-0905,few,3,1026.0,17.107503227141788,1003.0,1044.0,18.0,0.0,18.0,18.0,0.05977505211133135,0.05069151307657817,0.0,0.1239357689406186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.9428090415820634,2.0,4.0,0.2588433260062641,0.08792006803586065,0.19398642095053348,0.38314176245210724,96.2962962962963,5.237828008789242,88.88888888888889,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40120591868196137,0.008799491279266122,0.3900718499483568,0.4115865748907188,79.31073067401934,0.8929767661160677,78.15501562055303,80.32944338517045,6003.761547569142,0.966966042873501,6002.9573427922805,6005.121499632502,0.5604400552916986,0.04097928729175853,0.515010596389334,0.6143168799594978,17.79218711652981,0.0,17.79218711652981,17.79218711652981,15.620141757977379,0.2647702104655512,15.415389527458494,15.994017946161515,2.1720453585524324,0.2647702104655512,1.7981691703682952,2.376797589071316,0.0,0.0,0.0,0.0,0.8024279695831691,0.19789351792424428,0.5621107170825532,1.0467980295566501,58.923731795370635,8.706980461637297,50.399201596806385,70.88122605363985,0.0,0.0,0.0,0.0,0.12304663764928943,0.08784584869824939,0.0,0.19940179461615154,0.13112940518889502,0.09274884454582932,0.0,0.19940179461615154
employment,kimi-k2-instruct-0905,one,3,1025.6666666666667,24.526629518862872,991.0,1044.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.48528137423857,2.0,20.0,0.7709243416317587,0.8120956542424166,0.19157088122605362,1.9193857965451053,72.22222222222223,35.42801198094258,22.22222222222222,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4181775953787627,0.005321896585576774,0.41410960140190006,0.4256954271253279,80.29263411457495,0.630982181018296,79.73753700610891,81.17525139984056,6004.213334418913,0.2907189276043342,6003.85922718543,6004.571308716334,0.4779726146564934,0.029818955865558015,0.43623748478136654,0.5040736673505979,17.79218711652981,0.0,17.79218711652981,17.79218711652981,15.618800905346006,0.12676057273509794,15.473768394113884,15.78256704980843,2.1733862111838023,0.12676057273509794,2.0096200667213804,2.3184187224159256,0.0,0.0,0.0,0.0,1.201889167671152,0.4218529873644369,0.6649300795174116,1.6955266955266954,45.52911696253997,4.295603004811648,39.6551724137931,49.80806142034549,0.03367003367003367,0.047616618261720374,0.0,0.10101010101010101,0.03363605785401951,0.04756856920192045,0.0,0.10090817356205853,0.03363605785401951,0.04756856920192045,0.0,0.10090817356205853
employment,kimi-k2-instruct-0905,zero,3,1005.6666666666666,9.533566430716728,993.0,1016.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.816496580927726,2.0,4.0,0.2975765680347358,0.07850244442173018,0.2014098690835851,0.39370078740157477,74.07407407407408,36.66479606152469,22.22222222222222,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30397381009673635,0.004945773878449318,0.30003325907508227,0.3109485897907401,72.56519340654339,0.6993597935446894,71.6681323046403,73.37444159752604,6002.477274009674,0.6473729535688879,6001.815320605013,6003.355974071979,0.7904664627610088,0.01110500905227697,0.7821472514882553,0.8061618770784533,17.79218711652981,0.0,17.79218711652981,17.79218711652981,12.374351905764215,0.23837545867015514,12.03740157480315,12.551917989417989,5.417835210765596,0.23837545867015514,5.240269127111821,5.75478554172666,0.0,0.0,0.0,0.0,1.189071851147886,0.2517628127248282,0.8991512012660049,1.5130190007037299,96.65150743367553,0.9684237345261686,95.86614173228347,98.01587301587301,0.032840722495894904,0.04644379515182578,0.0,0.09852216748768472,0.03280839895013123,0.046398082755022794,0.0,0.09842519685039369,0.03280839895013123,0.046398082755022794,0.0,0.09842519685039369
employment,llama-3.1-8b-instruct,few,3,954.0,6.164414002968976,946.0,961.0,18.0,0.0,18.0,18.0,0.148464136620017,0.18192681286929327,0.0,0.40467106023817784,16.666666666666668,20.805982045769646,0.0,46.0,1.736504507358511,2.1636970382613723,0.0,4.786680541103017,17.333333333333332,20.336065390226192,1.0,46.0,1.8066446030678263,2.114295538843233,0.10471204188481677,4.786680541103017,46.2962962962963,34.045882057130065,22.22222222222222,94.44444444444444,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3657934411477255,0.005538010881476748,0.35896755059526414,0.3725320082318887,81.42474030491314,4.135618223045178,77.46377484541678,87.13189334496282,6092.771275095422,128.91835727789763,6000.876732931686,6275.087380979218,0.4368236990123018,0.04321325471152285,0.38922571921825716,0.4938176028840389,17.79218711652981,0.0,17.79218711652981,17.79218711652981,16.55550337177868,0.3562185502423206,16.084675265520904,16.946088794926002,1.2366837447511283,0.3562185502423206,0.846098321603808,1.7075118510089062,0.0,0.0,0.0,0.0,2.229155025027492,0.7162699404139125,1.587551167197555,3.2287958954625617,37.875633194974945,8.451896690894793,29.913606911447083,49.577167019027485,10.3879721483922,2.0312988751018812,7.549361207897793,12.189349112426036,76.37069623073576,5.14639769905818,70.29598308668076,82.87958115183245,83.8348611580587,5.441632644201993,76.95560253699789,90.26178010471205
employment,llama-3.1-8b-instruct,one,3,961.0,35.4400902933387,933.0,1011.0,18.0,0.0,18.0,18.0,0.11066886685404025,0.09181773817243832,0.0,0.22482546444207788,45.666666666666664,32.86673427984932,0.0,76.0,4.726465471453879,3.4515587591320256,0.0,8.145766345123258,45.666666666666664,32.86673427984932,0.0,76.0,4.726465471453879,3.4515587591320256,0.0,8.145766345123258,48.14814814814815,36.66479606152469,22.22222222222222,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412314750858381,0.040614099216359834,0.511882988179304,0.5986638443160522,87.69945404372906,1.5465484865874308,85.75856220740577,89.54306803953614,6003.924523231247,1.6930806686078879,6002.449320746005,6006.29540841926,0.635455685575601,0.009309029071790834,0.6224210295377065,0.6435731198002447,17.79218711652981,0.0,17.79218711652981,17.79218711652981,16.68529308539141,0.3529896477568334,16.318496538081106,17.16194510036314,1.1068940311383966,0.3529896477568334,0.6302420161666689,1.4736905784487035,0.0,0.0,0.0,0.0,6.873127384887926,1.0947907038094051,5.3341811502048895,7.7895133770478795,60.97639262322969,1.2879988802566313,59.2482690405539,62.33905579399141,3.4878681808761947,2.6034457405130422,0.3972194637537239,6.76605504587156,88.97945116211868,0.46852544030273635,88.45123258306538,89.58998935037275,92.81434215513717,0.4964437788736884,92.11927582534611,93.2475884244373
employment,llama-3.1-8b-instruct,zero,3,909.6666666666666,85.05031190745602,791.0,986.0,18.0,0.0,18.0,18.0,2.286571394570102,2.7324318841670503,0.3437006986702727,6.15079365079365,4.0,4.320493798938574,0.0,10.0,0.4177533082198397,0.4549626419648616,0.0,1.050420168067227,16.333333333333332,18.873850222522755,2.0,43.0,1.7251102455019236,1.9750133418654576,0.2528445006321113,4.516806722689076,44.444444444444436,15.713484026367723,22.22222222222222,55.55555555555556,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37491706639028055,0.017327122398716532,0.3544632026087576,0.39683045831970787,2609.5681108306685,352.2665143890279,2187.219105380264,3049.551559919389,12696.46242996277,661.9350234835771,12051.217130341738,13606.435776086,0.7317966234123588,0.04592374899125848,0.6815951693161674,0.792581332680621,17.79218711652981,0.0,17.79218711652981,17.79218711652981,17.24420558663056,3.1238008228014933,13.818309805980855,21.372650516054787,2.934957129582567,1.2018494020294175,1.250530678673769,3.9738773105489553,0.0,0.0,0.0,0.0,10.470267817988859,1.3730956274920523,8.937038306146357,12.268867482408336,62.79683446468922,1.6312868324184957,60.913705583756354,64.89252814738997,8.161499134124933,2.574856792142644,4.582843713278495,10.53370786516854,99.24129287052021,0.24316022840773688,98.9604462474645,99.55357142857143,99.78049199539443,0.1672870951984749,99.59432048681542,100.0
employment,qwen3-coder-30b-a3b-instruct,few,3,1050.0,14.7648230602334,1031.0,1067.0,18.0,0.0,18.0,18.0,0.09493274864698864,0.07283922951808726,0.0,0.17702801207955846,5.0,1.4142135623730951,3.0,6.0,0.47648487972589243,0.13551655291525533,0.28517110266159695,0.5819592628516004,5.0,1.4142135623730951,3.0,6.0,0.47648487972589243,0.13551655291525533,0.28517110266159695,0.5819592628516004,70.37037037037037,34.346735168502605,22.22222222222222,100.0,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3798874273016544,0.00912014107023715,0.3724506559605456,0.39273194488702284,80.7049100883139,2.509651735133115,78.11506864889914,84.10151316663367,6053.273188649447,70.93403818852966,6002.571667308114,6153.587096671684,0.42609023487949577,0.032106741774272286,0.384128812058077,0.46209404674055454,17.79218711652981,0.0,17.79218711652981,17.79218711652981,15.904325506313867,0.21904736253881124,15.736058301647654,16.21370837374717,1.8878616102159416,0.21904736253881124,1.5784787427826394,2.0561288148821557,0.0,0.0,0.0,0.0,1.7135109931368202,0.6249419713455938,1.0941960038058993,2.5692137325544957,36.643487852948944,5.963537504215791,28.98832684824903,43.536121673003805,0.06417282067958338,0.04538611519646843,0.0,0.09737098344693282,1.124915264457816,1.0735582388712184,0.3514526710402999,2.6430649854510184,2.5448280263427994,2.864585840175073,0.4686035613870665,6.595538312318137
employment,qwen3-coder-30b-a3b-instruct,one,3,1030.0,14.854853303438128,1019.0,1051.0,18.0,0.0,18.0,18.0,0.037697956160298286,0.029088093077974587,0.0,0.07080610021786493,6.666666666666667,0.4714045207910317,6.0,7.0,0.6470718774947056,0.04247095977801229,0.5882352941176471,0.6869479882237487,7.0,0.0,7.0,7.0,0.6797516160567971,0.009704881459394124,0.6660323501427212,0.6869479882237487,92.5925925925926,2.618914004394621,88.88888888888889,94.44444444444444,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151162444805027,0.016034662695142025,0.49488565897781067,0.5341032996995982,85.52409872699354,0.3694208978047983,85.07368863783529,85.9785542095018,6004.9422219619655,0.4470474097125977,6004.4309519696035,6005.519927332411,0.5050460264241144,0.01793803479531596,0.48032814817445746,0.5223475872827295,17.79218711652981,0.0,17.79218711652981,17.79218711652981,15.856859645793335,0.19868062000973083,15.701014066077855,16.137254901960784,1.9353274707364747,0.19868062000973083,1.6549322145690262,2.091173050451955,0.0,0.0,0.0,0.0,3.6738578529802255,0.9712560820292329,2.866949527602994,5.0399551380905665,43.59574434942442,5.141742462754032,36.38095238095238,47.98822374877331,0.06452023725467794,0.045638087385292354,0.0,0.09823182711198428,48.01123194237322,6.332738977386728,39.10561370123692,53.2843137254902,53.513868361238586,6.804590278026718,45.19505233111323,61.86274509803922
employment,qwen3-coder-30b-a3b-instruct,zero,3,1018.3333333333334,6.944222218666553,1010.0,1027.0,18.0,0.0,18.0,18.0,0.07032348804500703,0.09945243054663115,0.0,0.21097046413502107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.9428090415820634,2.0,4.0,0.2618963591073336,0.0926625358115427,0.19474196689386564,0.3929273084479371,94.44444444444444,0.0,94.44444444444444,94.44444444444444,11239.0,0.0,11239.0,11239.0,18.0,0.0,18.0,18.0,3.137882967049263,0.0,3.137882967049263,3.137882967049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5083437902728307,0.02041082911801328,0.4814314180378852,0.5308385649661215,83.8342314067588,1.1178229625382627,82.35835261078144,85.06270989396977,6006.506303405501,0.5665557527213758,6005.919363760561,6007.2721126412225,0.7434094342451111,0.010719523734934427,0.7338213603530476,0.7583727343373095,17.79218711652981,0.0,17.79218711652981,17.79218711652981,12.4843251703404,0.3274020003207916,12.038310412573674,12.814995131450829,5.307861946189409,0.32740200032079164,4.977191985078981,5.753876703956136,0.0,0.0,0.0,0.0,1.8190372717659706,1.3719613938908681,0.05569516507268833,3.4016973125884014,91.15392059432509,1.5467933882557223,89.29273084479371,93.07992202729045,0.0,0.0,0.0,0.0,99.80338321219999,0.03575868302909367,99.77722772277228,99.8539435248296,100.0,0.0,100.0,100.0
hatecrime,kimi-k2-instruct-0905,few,3,1007.6666666666666,3.2998316455372216,1004.0,1012.0,20.0,0.0,20.0,20.0,8.458319439779379,0.873766329311857,7.250996015936255,9.289970208540218,4.666666666666667,1.699673171197595,3.0,7.0,0.4630652531471861,0.16875564686305558,0.29880478087649404,0.6951340615690168,26.666666666666668,3.2998316455372216,23.0,31.0,2.6461524859840413,0.3261173206841658,2.2908366533864544,3.0784508440913605,100.0,0.0,100.0,100.0,265834.0,0.0,265834.0,265834.0,20.0,0.0,20.0,20.0,13.516141652309335,0.0,13.516141652309335,13.516141652309335,4084.0,0.0,4084.0,4084.0,1.5362970876562063,2.220446049250313e-16,1.5362970876562065,1.5362970876562065,16901.0,0.0,16901.0,16901.0,6.357727002565511,0.0,6.357727002565511,6.357727002565511,0.3755281225127656,0.01503882462471919,0.3542616166949772,0.3863875763634521,1.235316735993469,0.040933002593830654,1.182805913494453,1.282672530945115,0.6196325819109738,0.004293455771821571,0.6139677366919251,0.6243578304977204,0.29734388994939026,0.0049840894369318905,0.2902970141209212,0.3010010330116467,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7456305497745355,0.22034302315160642,0.5279308238024801,1.0475650930465792,5.118776850654072,0.1387098824930795,4.958677685950414,5.2969938428105765,0.0,0.0,0.0,0.0,2.5670331171503373,1.6893513591981357,0.893743793445879,4.8804780876494025,5.134066234300675,3.3787027183962715,1.787487586891758,9.760956175298805
