run,error_type,bad_rows_count,bad_rows_pct_of_total,bad_rows_pct_of_bad,total_bad_rows_run,total_rows_run,bad_rows_pct_run
run1,too_many_fields,2830,10.142642104508637,75.22594364699627,3762,27902,13.482904451293814
run1,odd_number_of_symbols,45,0.1612787613791126,1.1961722488038278,3762,27902,13.482904451293814
run1,row_structure_error,690,2.47294100781306,18.341307814992025,3762,27902,13.482904451293814
run1,too_few_fields,54,0.19353451365493513,1.4354066985645932,3762,27902,13.482904451293814
run1,empty_line,143,0.5125080639380689,3.8011695906432745,3762,27902,13.482904451293814
run2,too_many_fields,2513,8.920204458327417,62.96667501879229,3991,28172,14.166548345875338
run2,odd_number_of_symbols,53,0.18813005821382933,1.327987972939113,3991,28172,14.166548345875338
run2,row_structure_error,933,3.311798949311373,23.37759959909797,3991,28172,14.166548345875338
run2,too_few_fields,6,0.021297742439301433,0.15033826108744675,3991,28172,14.166548345875338
run2,empty_line,486,1.7251171375834162,12.177399148083188,3991,28172,14.166548345875338
run3,odd_number_of_symbols,211,0.7492631653705479,4.982290436835892,4235,28161,15.038528461347253
run3,row_structure_error,851,3.0219097333191294,20.094451003541913,4235,28161,15.038528461347253
run3,too_many_fields,2725,9.676502965093569,64.34474616292798,4235,28161,15.038528461347253
run3,too_few_fields,170,0.6036717446113419,4.014167650531287,4235,28161,15.038528461347253
run3,empty_line,278,0.9871808529526651,6.564344746162928,4235,28161,15.038528461347253
