llm,domain,shot,num_runs,error_type,total_bad_rows,avg_bad_rows_per_run,bad_rows_pct_of_total,bad_rows_pct_of_bad,total_rows_combo,total_bad_rows_combo,bad_rows_pct_combo,avg_bad_rows_pct_per_run
kimi-k2-instruct-0905,employment,few,3,too_many_fields,1,0.3333333333333333,0.03243593902043464,20.0,3083,5,0.1621796951021732,0.054059898367391064
kimi-k2-instruct-0905,employment,few,3,odd_number_of_symbols,2,0.6666666666666666,0.06487187804086927,40.0,3083,5,0.1621796951021732,0.054059898367391064
kimi-k2-instruct-0905,employment,few,3,row_structure_error,2,0.6666666666666666,0.06487187804086927,40.0,3083,5,0.1621796951021732,0.054059898367391064
kimi-k2-instruct-0905,employment,one,3,too_many_fields,35,11.666666666666666,1.1246786632390746,100.0,3112,35,1.1246786632390746,0.3748928877463582
kimi-k2-instruct-0905,employment,zero,3,too_many_fields,73,24.333333333333332,2.3624595469255665,100.0,3090,73,2.3624595469255665,0.7874865156418555
kimi-k2-instruct-0905,hatecrime,one,3,too_many_fields,5,1.6666666666666667,0.16393442622950818,100.0,3050,5,0.16393442622950818,0.0546448087431694
kimi-k2-instruct-0905,lending,few,3,too_many_fields,980,326.6666666666667,31.623104227170057,100.0,3099,980,31.623104227170057,10.54103474239002
kimi-k2-instruct-0905,lending,one,3,too_many_fields,23,7.666666666666667,0.7472384665367121,100.0,3078,23,0.7472384665367121,0.2490794888455707
kimi-k2-instruct-0905,lending,zero,3,too_many_fields,398,132.66666666666666,12.711593740019165,100.0,3131,398,12.711593740019165,4.237197913339721
llama-3.1-8b-instruct,employment,few,3,odd_number_of_symbols,1,0.3333333333333333,0.033112582781456956,0.6329113924050633,3020,158,5.231788079470199,1.7439293598233998
llama-3.1-8b-instruct,employment,few,3,too_many_fields,156,52.0,5.1655629139072845,98.73417721518987,3020,158,5.231788079470199,1.7439293598233998
llama-3.1-8b-instruct,employment,few,3,row_structure_error,1,0.3333333333333333,0.033112582781456956,0.6329113924050633,3020,158,5.231788079470199,1.7439293598233998
llama-3.1-8b-instruct,employment,one,3,too_many_fields,127,42.333333333333336,4.153041203400916,72.57142857142857,3058,175,5.722694571615436,1.9075648572051451
llama-3.1-8b-instruct,employment,one,3,odd_number_of_symbols,48,16.0,1.5696533682145193,27.42857142857143,3058,175,5.722694571615436,1.9075648572051451
llama-3.1-8b-instruct,employment,zero,3,odd_number_of_symbols,12,4.0,0.3878474466709761,3.287671232876712,3094,365,11.797026502908855,3.932342167636285
llama-3.1-8b-instruct,employment,zero,3,too_many_fields,268,89.33333333333333,8.661926308985132,73.42465753424658,3094,365,11.797026502908855,3.932342167636285
llama-3.1-8b-instruct,employment,zero,3,row_structure_error,85,28.333333333333332,2.7472527472527473,23.28767123287671,3094,365,11.797026502908855,3.932342167636285
llama-3.1-8b-instruct,hatecrime,few,3,odd_number_of_symbols,86,28.666666666666668,2.7001569858712715,3.9576622181316155,3185,2173,68.22605965463109,22.742019884877028
llama-3.1-8b-instruct,hatecrime,few,3,row_structure_error,1724,574.6666666666666,54.1287284144427,79.33732167510354,3185,2173,68.22605965463109,22.742019884877028
llama-3.1-8b-instruct,hatecrime,few,3,too_many_fields,353,117.66666666666667,11.08320251177394,16.244822825586745,3185,2173,68.22605965463109,22.742019884877028
llama-3.1-8b-instruct,hatecrime,few,3,too_few_fields,10,3.3333333333333335,0.3139717425431711,0.46019328117809477,3185,2173,68.22605965463109,22.742019884877028
llama-3.1-8b-instruct,hatecrime,one,3,odd_number_of_symbols,60,20.0,1.9646365422396856,4.282655246252676,3054,1401,45.87426326129666,15.291421087098888
llama-3.1-8b-instruct,hatecrime,one,3,row_structure_error,661,220.33333333333334,21.643745907007204,47.18058529621699,3054,1401,45.87426326129666,15.291421087098888
llama-3.1-8b-instruct,hatecrime,one,3,too_many_fields,471,157.0,15.422396856581532,33.61884368308351,3054,1401,45.87426326129666,15.291421087098888
llama-3.1-8b-instruct,hatecrime,one,3,too_few_fields,209,69.66666666666667,6.843483955468238,14.917915774446824,3054,1401,45.87426326129666,15.291421087098888
llama-3.1-8b-instruct,hatecrime,zero,3,too_many_fields,788,262.6666666666667,24.358578052550232,89.64732650739477,3235,879,27.171561051004637,9.057187017001546
llama-3.1-8b-instruct,hatecrime,zero,3,odd_number_of_symbols,41,13.666666666666666,1.267387944358578,4.6643913538111486,3235,879,27.171561051004637,9.057187017001546
llama-3.1-8b-instruct,hatecrime,zero,3,empty_line,49,16.333333333333332,1.5146831530139104,5.5745164960182025,3235,879,27.171561051004637,9.057187017001546
llama-3.1-8b-instruct,hatecrime,zero,3,row_structure_error,1,0.3333333333333333,0.030911901081916538,0.11376564277588168,3235,879,27.171561051004637,9.057187017001546
